Epoch 116/1000 | Loss: 0.0206 | Precision: 0.7817 | Recall: 0.5839 | F1: 0.6433
Epoch 117/1000 | Loss: 0.0204 | Precision: 0.7844 | Recall: 0.5860 | F1: 0.6455
Epoch 118/1000 | Loss: 0.0206 | Precision: 0.7836 | Recall: 0.5867 | F1: 0.6453
Epoch 119/1000 | Loss: 0.0204 | Precision: 0.7832 | Recall: 0.5887 | F1: 0.6476
Epoch 120/1000 | Loss: 0.0204 | Precision: 0.7853 | Recall: 0.5914 | F1: 0.6498
Epoch 121/1000 | Loss: 0.0204 | Precision: 0.7813 | Recall: 0.5882 | F1: 0.6468
Epoch 122/1000 | Loss: 0.0204 | Precision: 0.7820 | Recall: 0.5912 | F1: 0.6486
Epoch 123/1000 | Loss: 0.0203 | Precision: 0.7877 | Recall: 0.5930 | F1: 0.6514
Epoch 124/1000 | Loss: 0.0203 | Precision: 0.7878 | Recall: 0.5925 | F1: 0.6516
Epoch 125/1000 | Loss: 0.0203 | Precision: 0.7876 | Recall: 0.5949 | F1: 0.6528
Epoch 126/1000 | Loss: 0.0202 | Precision: 0.7885 | Recall: 0.5969 | F1: 0.6551
Epoch 127/1000 | Loss: 0.0202 | Precision: 0.7883 | Recall: 0.5973 | F1: 0.6559
Epoch 128/1000 | Loss: 0.0201 | Precision: 0.7904 | Recall: 0.6005 | F1: 0.6585
Epoch 129/1000 | Loss: 0.0201 | Precision: 0.7874 | Recall: 0.5977 | F1: 0.6551
Epoch 130/1000 | Loss: 0.0202 | Precision: 0.7923 | Recall: 0.6014 | F1: 0.6596
Epoch 131/1000 | Loss: 0.0201 | Precision: 0.7934 | Recall: 0.6035 | F1: 0.6609
Epoch 132/1000 | Loss: 0.0201 | Precision: 0.7914 | Recall: 0.6016 | F1: 0.6588
Epoch 133/1000 | Loss: 0.0200 | Precision: 0.7946 | Recall: 0.6023 | F1: 0.6606
Epoch 134/1000 | Loss: 0.0201 | Precision: 0.7932 | Recall: 0.6034 | F1: 0.6608
Epoch 135/1000 | Loss: 0.0201 | Precision: 0.7931 | Recall: 0.6047 | F1: 0.6616
Epoch 136/1000 | Loss: 0.0200 | Precision: 0.7950 | Recall: 0.6074 | F1: 0.6643
Epoch 137/1000 | Loss: 0.0199 | Precision: 0.7939 | Recall: 0.6064 | F1: 0.6636
Epoch 138/1000 | Loss: 0.0199 | Precision: 0.7957 | Recall: 0.6081 | F1: 0.6657
Epoch 139/1000 | Loss: 0.0200 | Precision: 0.7958 | Recall: 0.6083 | F1: 0.6656
Epoch 140/1000 | Loss: 0.0198 | Precision: 0.8026 | Recall: 0.6121 | F1: 0.6704
Epoch 141/1000 | Loss: 0.0199 | Precision: 0.7958 | Recall: 0.6091 | F1: 0.6661
Epoch 142/1000 | Loss: 0.0199 | Precision: 0.7997 | Recall: 0.6109 | F1: 0.6690
Epoch 143/1000 | Loss: 0.0199 | Precision: 0.7989 | Recall: 0.6135 | F1: 0.6705
Epoch 144/1000 | Loss: 0.0199 | Precision: 0.7943 | Recall: 0.6100 | F1: 0.6662
Epoch 145/1000 | Loss: 0.0198 | Precision: 0.8022 | Recall: 0.6160 | F1: 0.6733
Epoch 146/1000 | Loss: 0.0198 | Precision: 0.7985 | Recall: 0.6137 | F1: 0.6703
Epoch 147/1000 | Loss: 0.0197 | Precision: 0.8010 | Recall: 0.6161 | F1: 0.6733
Epoch 148/1000 | Loss: 0.0197 | Precision: 0.7951 | Recall: 0.6141 | F1: 0.6702
